InstitutionID,StreetTown,InstitutionName,BedCount,OperationYearMonth,Address,PhoneNumber,PostalCode,OperationMode,LegalRepresentative
200001,陆家嘴,上海琻锦颐养院有限公司,248,20010703,东环龙路299号,68682401,199912,民建民营（工商）,徐而进
200002,陆家嘴,上海浦东新区陆家嘴敬老院,93,199912,崂山二村48号,58876896,200120,公建公营,瞿文
200003,潍坊,上海浦东新区潍坊敬老院,170,199908,潍坊六村627号,58202777,200120,公建公营,朱文霞
200004,塘桥,上海浦东新区塘桥敬老院外设服务区,28,199908,蓝村路60弄38号甲,58392859,200127,公建公营,张金红
200005,洋泾,上海浦东新区金枫敬老院,70,200003,张杨路1734弄21号,68535391,200135,民建民营（民非）,戎煜
200006,洋泾,上海浦东新区歇浦敬老院,44,199908,浦东大道1615弄8号,58858203,200135,民建民营（民非）,欧阳雪梅
200007,花木,上海浦东新区花木敬老院,78,199908,玉兰路58号,68452975,201204,公建公营,陈华节
200008,花木,上海市浦东新区花木社区街道广洋养老院,142,199908,灵山路2011弄59号,50757159,200136,公建公营,王晓英
200009,花木,上海浦东新区申东颐养院,180,200607,严桥路306号,50890306,200125,民建民营（民非）,占桂兰
200010,金杨,上海市浦东新区金杨新村街道灵山养老院,75,199908,灵山路2011弄29号,50768761,200136,公建公营,丁  燕
200011,金杨,上海浦东新区金杨第二敬老院,135,200106,上海浦东新区龙居路180弄20号（甲）,58520957,200136,公建公营,郑菊琴
200012,金杨,上海罗山养老院,50,199908,博山东路40弄30号,58608242,200136,民建民营（民非）,申利民
200013,金杨,上海浦东新区美馨敬老院,80,199908,金杨路660弄23号,50755222,200135,民建民营（民非）,曾丽馨
200014,金杨,上海春馨养护院,150,201212,浦东大道2507号,50273890,200136,民建民营（民非）,陈春良
200015,金杨,上海浦东新区安达锦阳敬老院,88,201406,枣庄路658弄11号,50716322,200136,民建民营（民非）,何敏
200016,沪东,上海浦东新区沪东社区敬老院,68,199908,柳埠路142弄48号,58507411,200129,公建公营,沈美娥
200017,沪东,上海浦东新区沪东社区朱家门敬老院,115,200804,浦东大道2970弄31号,50382074,200129,公建公营,刘来龙
200018,浦兴,上海浦东新区浦兴敬老院,140,199912,博兴路1208号,68956907,200126,公建公营,郭萍
200019,浦兴,上海浦东新区证大家园敬老院,100,201407,巨峰路209号,50682531,200129,公建公营,夏芳
200020,南码头,上海市浦东新区南码头路街道南园养老院,103,199908,浦三路628弄18号,50779884,200125,公建公营,汤和芬
200021,南码头,上海市浦东新区南码头路街道南风养老院,80,200812,东三里桥路160弄22号,58816184,200125,公建公营,汤和芬
200022,南码头,上海机电养老院,240,200001,杨高南路2068号,58739865,200125,民建民营（民非）,左山虎
200023,南码头,上海浦东新区民众敬老院,280,200512,浦三路741弄22号,50771286,200125,民建民营（民非）,柏蓉
200024,南码头,上海浦东市南养老院,191,200811,西三里桥路6号,58892115,200125,民建民营（民非）,梁红
200025,周家渡,上海市浦东新区周家渡街道昌里养老院,126,200703,昌里东路80弄61号,58457010,200126,公建民营,吴海萍
200026,周家渡,上海市退休职工服务中心浦东公寓,110,199908,齐河路10弄2号,58746613,200126,公建公营,奚杰
200027,上钢,上海市浦东新区上钢新村街道德州养老院,80,201108,德州路255弄56号,33938908,200126,公建公营,王丽玲
200028,上钢,上海市浦东新区上钢新村街道耀华养老院,75,201208,耀华路550弄2号,58476531,200126,公建公营,潘伟红
200029,上钢,上海秀英养老院,63,200511,德州路380弄30号,58456891,200126,民建民营（民非）,杨鸣芳
200030,东明,上海市浦东新区东明路街道永泰养老院,93,200104,永泰路1129弄96号,50562790,200213,公建民营,龚毅
200031,东明,上海市浦东新区东明路街道世博家园养老院,200,200707,东泰林路158号,50658622,200124,公建民营,严海滨
200032,东明,上海春天家园老年公寓,175,200702,上南路4276号,51380299,200124,民建民营（民非）,徐全娟
200033,南汇新城,上海秋胜养老院,330,200305,泥城镇千祥村兴隆九组,58071912,201306,民建民营（民非）,黄晓天
200034,金桥,上海市浦东新区金桥镇张桥养护院,139,199908,佳林路82弄161号,58549557,201206,公建公营,蔡文霞
200035,金桥,上海市浦东新区金桥镇申江养护院,252,201012,浦东新区申江路2480号,58993688,201206,公建公营,顾杰人
200036,金桥,上海浦东新区金桥利群敬老院,70,200509,王家桥孙家浜58号,58342707,201206,民建民营（民非）,林作用
200037,曹路,上海市浦东新区曹路镇龚路养护院,120,199908,曹路镇曙星路南首,58563106,201209,公建公营,赵文福
200038,曹路,上海市浦东新区曹路镇顾路养护院,145,199908,曹路镇顾东村吴家宅8号,58630900,201209,公建公营,刘兰英
200039,曹路,上海曹路期颐老年公寓,250,200602,曹路镇杨东路6号,58632886,201209,公建民营,董国忠
200040,曹路,上海正华养老院,155,200407,川沙路1188号,58561117,201209,民建民营（民非）,姜惠兴
200041,高桥,上海浦东新区高桥幸福敬老院,80,200610,高桥镇学后街39号,50412511,200137,公建公营,辛燕丽
200042,高桥,上海浦东新区高桥吉祥敬老院,250,200610,欧高路382号,58677838,200137,公建公营,辛燕丽
200043,高桥,上海浦东新区高桥如意敬老院,72,200610,张家路49号,58643221,200137,公建公营,辛燕丽
200044,高桥,上海浦东新区金色港湾老年公寓,250,200907,溪兰路125号,58674065,200137,民建民营（民非）,谢荣娣
200045,高东,上海浦东新区高东福利院,305,201111,镇南路116号,20250776,201208,公建公营,金惠珠
200046,高行,上海市浦东新区高行镇万安养老院,500,200902,新行路306号,68689981,201208,公建公营,王莉馨
200047,张江,上海市浦东新区张江镇孙桥养老院,250,199908,横沔江路264号,58570405,201210,公建公营,吴霞芳
200048,张江,上海市浦东新区张江镇顺和养老院,69,200910,顺和路139弄5号,50724484,201210,公建公营,吴霞芳
200049,张江,上海光启养老院,175,200212,居里路469号,58556131,201203,民建民营（民非）,徐圣洁
200050,张江,上海洪天养老院,100,201604,张江镇橫沔江路501号,50199113,201203,民建民营（民非）,彭天明
200051,唐镇,上海浦东新区新唐镇敬老院,727,200609,创新中路73号,58967148,201210,公建公营,蒋华义
200052,合庆,上海浦东新区合庆敬老院,260,200407,青暮路281号,68901803,201201,民建民营（民非）,张文祥
200053,合庆,上海青墩养老院,280,200507,青暮路1348号,68910655,201201,民建民营（民非）,张慧根
200054,合庆,上海浦东新区爱心养老公寓,370,200608,奚阳路885,68919958,201201,民建民营（民非）,彭天明
200055,三林,上海市浦东新区三林镇常青养老院,225,201701,永泰路302弄16号,50824588,200124,公建公营,陆伟红
200056,三林,上海浦东新区康德敬老院,50,199908,恒大路65号,58429858,200126,民建民营（民非）,张德荣
200057,三林,上海浦东新区积孝敬老院,133,200207,杨高南路4501弄79号,50851606,200124,民建民营（民非）,袁孝萍
200058,三林,上海汇亲园养护院,140,200708,上南路5128号,50827077,200124,民建民营（民非）,徐扣凤
200059,三林,上海浦东新区日月星养老院,301,201012,浦东新区顾全路100号,61348880,200135,民建民营（民非）,苏剑青
200060,北蔡,上海市浦东新区北蔡镇莲溪养护院,196,199911,北中路575号,50910633,201204,公建公营,赵文蓉
200061,北蔡,上海安达养护院,195,200605,莲园路359号,50421225,201204,民建民营（民非）,何敏
200062,北蔡,上海凯健华鹏老年服务有限公司（上海凯健华鹏养老院有限公司）,78,201412,华鹏路96号,68387000,201204,民建民营（工商）,YUNZHI SMITH
200063,北蔡,上海万福年华养老院,89,501604,沪南公路865号,60348699,201204,民建民营（民非）,刘泽民
200064,惠南,上海市浦东新区惠南镇黄路养老院,82,199906,黄路文卫路51号,58270892,201301,公建公营,顾建华
200065,惠南,上海市浦东新区惠南镇惠乐养老院,138,201008,川南奉公路6168号,58270892,201301,公建公营,顾建华
200066,惠南,上海市浦东新区惠南镇惠颐养护院,250,201003,南祝路2700号,58098999,201324,公建民营,沈小萍
200067,惠南,上海心悦养老院,115,200404,南门路70号,58011019,201399,民建民营（民非）,黄娅青
200068,新场,上海市浦东新区新场镇石笋养老院,127,199911,新环南路288号,58171209,201314,公建公营,周志凤
200069,新场,上海市浦东新区新场镇坦直养老院,119,199904,下盐路89号,68151264,201314,公建公营,周志凤
200070,大团,上海浦东新区大团敬老院,120,199903,永春东路16号,58081889,201311,公建公营,徐才明
